OudRondeNr,NieuwRondeNr,PctNieuw
Res-036,Res-001,60
Res-038,Res-001,31
Res-019,Res-001,9
Res-007,Res-051,100
Res-036,Res-002,69
Res-019,Res-002,30
Rbu-003,Res-002,1
Res-008,Res-052,74
Res-002,Res-052,22
Res-007,Res-052,4
Res-025,Res-003,56
Res-019,Res-003,26
Res-036,Res-003,18
Res-024,Res-053,89
Res-021,Res-053,8
Res-031,Res-053,2
Res-025,Res-004,78
Res-006,Res-004,22
Res-029,Res-054,56
Res-021,Res-054,34
Res-024,Res-054,11
Res-019,Res-005,95
Res-036,Res-005,5
Res-024,Res-055,52
Res-004,Res-055,25
Res-002,Res-055,18
Res-008,Res-055,4
Rbu-003,Res-055,1
Res-019,Res-006,78
Res-007,Res-006,22
Res-002,Res-056,69
Res-019,Res-056,18
Res-008,Res-056,12
Res-024,Res-056,1
Res-021,Res-007,68
Res-029,Res-007,32
Res-038,Res-007,1
Res-008,Res-057,98
Res-007,Res-057,2
Res-021,Res-008,70
Res-029,Res-008,30
Res-004,Res-058,79
Res-008,Res-058,21
Res-025,Res-009,58
Res-007,Res-009,42
Res-008,Res-059,56
Res-004,Res-059,44
Res-051,Res-010,89
Res-038,Res-010,11
Res-033,Res-060,68
Res-031,Res-060,23
Res-034,Res-060,8
Res-027,Res-011,56
Res-038,Res-011,38
Res-072,Res-011,6
Res-029,Res-061,51
Res-031,Res-061,38
Res-034,Res-061,10
Res-016,Res-012,88
Res-096,Res-012,11
Res-314,Res-012,2
Res-012,Res-062,69
Res-007,Res-062,27
Res-014,Res-062,3
Res-072,Res-013,89
Res-027,Res-013,11
Res-004,Res-063,50
Res-033,Res-063,48
Res-087,Res-063,3
Res-027,Res-014,100
Res-066,Res-064,67
Res-058,Res-064,33
Res-023,Res-015,66
Res-027,Res-015,16
Res-029,Res-015,13
Res-066,Res-015,4
Res-029,Res-065,50
Res-066,Res-065,50
Res-023,Res-016,81
Res-027,Res-016,19
Res-034,Res-066,80
Res-066,Res-066,15
Res-029,Res-066,5
Res-006,Res-017,48
Res-051,Res-017,32
Res-016,Res-017,20
Res-031,Res-067,55
Res-033,Res-067,45
Res-014,Res-101,68
Res-089,Res-101,32
Res-088,Res-151,100
Res-058,Res-102,64
Res-055,Res-102,19
Res-072,Res-102,17
Res-045,Res-152,75
Res-050,Res-152,21
Res-046,Res-152,5
