Date,Jaar,Maand,MaandNr,WeekISO,Weekdag,IsWerkdag,WekenSindsStart
2025-01-01,2025,January,1,1,Wednesday,True,-90
2025-01-02,2025,January,1,1,Thursday,True,-90
2025-01-03,2025,January,1,1,Friday,True,-90
2025-01-04,2025,January,1,1,Saturday,False,-90
2025-01-05,2025,January,1,1,Sunday,False,-90
2025-01-06,2025,January,1,2,Monday,True,-89
2025-01-07,2025,January,1,2,Tuesday,True,-89
2025-01-08,2025,January,1,2,Wednesday,True,-89
2025-01-09,2025,January,1,2,Thursday,True,-89
2025-01-10,2025,January,1,2,Friday,True,-89
2025-01-11,2025,January,1,2,Saturday,False,-89
2025-01-12,2025,January,1,2,Sunday,False,-89
2025-01-13,2025,January,1,3,Monday,True,-88
2025-01-14,2025,January,1,3,Tuesday,True,-88
2025-01-15,2025,January,1,3,Wednesday,True,-88
2025-01-16,2025,January,1,3,Thursday,True,-88
2025-01-17,2025,January,1,3,Friday,True,-88
2025-01-18,2025,January,1,3,Saturday,False,-88
2025-01-19,2025,January,1,3,Sunday,False,-88
2025-01-20,2025,January,1,4,Monday,True,-87
2025-01-21,2025,January,1,4,Tuesday,True,-87
2025-01-22,2025,January,1,4,Wednesday,True,-87
2025-01-23,2025,January,1,4,Thursday,True,-87
2025-01-24,2025,January,1,4,Friday,True,-87
2025-01-25,2025,January,1,4,Saturday,False,-87
2025-01-26,2025,January,1,4,Sunday,False,-87
2025-01-27,2025,January,1,5,Monday,True,-86
2025-01-28,2025,January,1,5,Tuesday,True,-86
2025-01-29,2025,January,1,5,Wednesday,True,-86
2025-01-30,2025,January,1,5,Thursday,True,-86
2025-01-31,2025,January,1,5,Friday,True,-86
2025-02-01,2025,February,2,5,Saturday,False,-86
2025-02-02,2025,February,2,5,Sunday,False,-86
2025-02-03,2025,February,2,6,Monday,True,-85
2025-02-04,2025,February,2,6,Tuesday,True,-85
2025-02-05,2025,February,2,6,Wednesday,True,-85
2025-02-06,2025,February,2,6,Thursday,True,-85
2025-02-07,2025,February,2,6,Friday,True,-85
2025-02-08,2025,February,2,6,Saturday,False,-85
2025-02-09,2025,February,2,6,Sunday,False,-85
2025-02-10,2025,February,2,7,Monday,True,-84
2025-02-11,2025,February,2,7,Tuesday,True,-84
2025-02-12,2025,February,2,7,Wednesday,True,-84
2025-02-13,2025,February,2,7,Thursday,True,-84
2025-02-14,2025,February,2,7,Friday,True,-84
2025-02-15,2025,February,2,7,Saturday,False,-84
2025-02-16,2025,February,2,7,Sunday,False,-84
2025-02-17,2025,February,2,8,Monday,True,-83
2025-02-18,2025,February,2,8,Tuesday,True,-83
2025-02-19,2025,February,2,8,Wednesday,True,-83
2025-02-20,2025,February,2,8,Thursday,True,-83
2025-02-21,2025,February,2,8,Friday,True,-83
2025-02-22,2025,February,2,8,Saturday,False,-83
2025-02-23,2025,February,2,8,Sunday,False,-83
2025-02-24,2025,February,2,9,Monday,True,-82
2025-02-25,2025,February,2,9,Tuesday,True,-82
2025-02-26,2025,February,2,9,Wednesday,True,-82
2025-02-27,2025,February,2,9,Thursday,True,-82
2025-02-28,2025,February,2,9,Friday,True,-82
2025-03-01,2025,March,3,9,Saturday,False,-82
2025-03-02,2025,March,3,9,Sunday,False,-82
2025-03-03,2025,March,3,10,Monday,True,-81
2025-03-04,2025,March,3,10,Tuesday,True,-81
2025-03-05,2025,March,3,10,Wednesday,True,-81
2025-03-06,2025,March,3,10,Thursday,True,-81
2025-03-07,2025,March,3,10,Friday,True,-81
2025-03-08,2025,March,3,10,Saturday,False,-81
2025-03-09,2025,March,3,10,Sunday,False,-81
2025-03-10,2025,March,3,11,Monday,True,-80
2025-03-11,2025,March,3,11,Tuesday,True,-80
2025-03-12,2025,March,3,11,Wednesday,True,-80
2025-03-13,2025,March,3,11,Thursday,True,-80
2025-03-14,2025,March,3,11,Friday,True,-80
2025-03-15,2025,March,3,11,Saturday,False,-80
2025-03-16,2025,March,3,11,Sunday,False,-80
2025-03-17,2025,March,3,12,Monday,True,-79
2025-03-18,2025,March,3,12,Tuesday,True,-79
2025-03-19,2025,March,3,12,Wednesday,True,-79
2025-03-20,2025,March,3,12,Thursday,True,-79
2025-03-21,2025,March,3,12,Friday,True,-79
2025-03-22,2025,March,3,12,Saturday,False,-79
2025-03-23,2025,March,3,12,Sunday,False,-79
2025-03-24,2025,March,3,13,Monday,True,-78
2025-03-25,2025,March,3,13,Tuesday,True,-78
2025-03-26,2025,March,3,13,Wednesday,True,-78
2025-03-27,2025,March,3,13,Thursday,True,-78
2025-03-28,2025,March,3,13,Friday,True,-78
2025-03-29,2025,March,3,13,Saturday,False,-78
2025-03-30,2025,March,3,13,Sunday,False,-78
2025-03-31,2025,March,3,14,Monday,True,-77
2025-04-01,2025,April,4,14,Tuesday,True,-77
2025-04-02,2025,April,4,14,Wednesday,True,-77
2025-04-03,2025,April,4,14,Thursday,True,-77
2025-04-04,2025,April,4,14,Friday,True,-77
2025-04-05,2025,April,4,14,Saturday,False,-77
2025-04-06,2025,April,4,14,Sunday,False,-77
2025-04-07,2025,April,4,15,Monday,True,-76
2025-04-08,2025,April,4,15,Tuesday,True,-76
2025-04-09,2025,April,4,15,Wednesday,True,-76
2025-04-10,2025,April,4,15,Thursday,True,-76
2025-04-11,2025,April,4,15,Friday,True,-76
2025-04-12,2025,April,4,15,Saturday,False,-76
2025-04-13,2025,April,4,15,Sunday,False,-76
2025-04-14,2025,April,4,16,Monday,True,-75
2025-04-15,2025,April,4,16,Tuesday,True,-75
2025-04-16,2025,April,4,16,Wednesday,True,-75
2025-04-17,2025,April,4,16,Thursday,True,-75
2025-04-18,2025,April,4,16,Friday,True,-75
2025-04-19,2025,April,4,16,Saturday,False,-75
2025-04-20,2025,April,4,16,Sunday,False,-75
2025-04-21,2025,April,4,17,Monday,True,-74
2025-04-22,2025,April,4,17,Tuesday,True,-74
2025-04-23,2025,April,4,17,Wednesday,True,-74
2025-04-24,2025,April,4,17,Thursday,True,-74
2025-04-25,2025,April,4,17,Friday,True,-74
2025-04-26,2025,April,4,17,Saturday,False,-74
2025-04-27,2025,April,4,17,Sunday,False,-74
2025-04-28,2025,April,4,18,Monday,True,-73
2025-04-29,2025,April,4,18,Tuesday,True,-73
2025-04-30,2025,April,4,18,Wednesday,True,-73
2025-05-01,2025,May,5,18,Thursday,True,-73
2025-05-02,2025,May,5,18,Friday,True,-73
2025-05-03,2025,May,5,18,Saturday,False,-73
2025-05-04,2025,May,5,18,Sunday,False,-73
2025-05-05,2025,May,5,19,Monday,True,-72
2025-05-06,2025,May,5,19,Tuesday,True,-72
2025-05-07,2025,May,5,19,Wednesday,True,-72
2025-05-08,2025,May,5,19,Thursday,True,-72
2025-05-09,2025,May,5,19,Friday,True,-72
2025-05-10,2025,May,5,19,Saturday,False,-72
2025-05-11,2025,May,5,19,Sunday,False,-72
2025-05-12,2025,May,5,20,Monday,True,-71
2025-05-13,2025,May,5,20,Tuesday,True,-71
2025-05-14,2025,May,5,20,Wednesday,True,-71
2025-05-15,2025,May,5,20,Thursday,True,-71
2025-05-16,2025,May,5,20,Friday,True,-71
2025-05-17,2025,May,5,20,Saturday,False,-71
2025-05-18,2025,May,5,20,Sunday,False,-71
2025-05-19,2025,May,5,21,Monday,True,-70
2025-05-20,2025,May,5,21,Tuesday,True,-70
2025-05-21,2025,May,5,21,Wednesday,True,-70
2025-05-22,2025,May,5,21,Thursday,True,-70
2025-05-23,2025,May,5,21,Friday,True,-70
2025-05-24,2025,May,5,21,Saturday,False,-70
2025-05-25,2025,May,5,21,Sunday,False,-70
2025-05-26,2025,May,5,22,Monday,True,-69
2025-05-27,2025,May,5,22,Tuesday,True,-69
2025-05-28,2025,May,5,22,Wednesday,True,-69
2025-05-29,2025,May,5,22,Thursday,True,-69
2025-05-30,2025,May,5,22,Friday,True,-69
2025-05-31,2025,May,5,22,Saturday,False,-69
2025-06-01,2025,June,6,22,Sunday,False,-69
2025-06-02,2025,June,6,23,Monday,True,-68
2025-06-03,2025,June,6,23,Tuesday,True,-68
2025-06-04,2025,June,6,23,Wednesday,True,-68
2025-06-05,2025,June,6,23,Thursday,True,-68
2025-06-06,2025,June,6,23,Friday,True,-68
2025-06-07,2025,June,6,23,Saturday,False,-68
2025-06-08,2025,June,6,23,Sunday,False,-68
2025-06-09,2025,June,6,24,Monday,True,-67
2025-06-10,2025,June,6,24,Tuesday,True,-67
2025-06-11,2025,June,6,24,Wednesday,True,-67
2025-06-12,2025,June,6,24,Thursday,True,-67
2025-06-13,2025,June,6,24,Friday,True,-67
2025-06-14,2025,June,6,24,Saturday,False,-67
2025-06-15,2025,June,6,24,Sunday,False,-67
2025-06-16,2025,June,6,25,Monday,True,-66
2025-06-17,2025,June,6,25,Tuesday,True,-66
2025-06-18,2025,June,6,25,Wednesday,True,-66
2025-06-19,2025,June,6,25,Thursday,True,-66
2025-06-20,2025,June,6,25,Friday,True,-66
2025-06-21,2025,June,6,25,Saturday,False,-66
2025-06-22,2025,June,6,25,Sunday,False,-66
2025-06-23,2025,June,6,26,Monday,True,-65
2025-06-24,2025,June,6,26,Tuesday,True,-65
2025-06-25,2025,June,6,26,Wednesday,True,-65
2025-06-26,2025,June,6,26,Thursday,True,-65
2025-06-27,2025,June,6,26,Friday,True,-65
2025-06-28,2025,June,6,26,Saturday,False,-65
2025-06-29,2025,June,6,26,Sunday,False,-65
2025-06-30,2025,June,6,27,Monday,True,-64
2025-07-01,2025,July,7,27,Tuesday,True,-64
2025-07-02,2025,July,7,27,Wednesday,True,-64
2025-07-03,2025,July,7,27,Thursday,True,-64
2025-07-04,2025,July,7,27,Friday,True,-64
2025-07-05,2025,July,7,27,Saturday,False,-64
2025-07-06,2025,July,7,27,Sunday,False,-64
2025-07-07,2025,July,7,28,Monday,True,-63
2025-07-08,2025,July,7,28,Tuesday,True,-63
2025-07-09,2025,July,7,28,Wednesday,True,-63
2025-07-10,2025,July,7,28,Thursday,True,-63
2025-07-11,2025,July,7,28,Friday,True,-63
2025-07-12,2025,July,7,28,Saturday,False,-63
2025-07-13,2025,July,7,28,Sunday,False,-63
2025-07-14,2025,July,7,29,Monday,True,-62
2025-07-15,2025,July,7,29,Tuesday,True,-62
2025-07-16,2025,July,7,29,Wednesday,True,-62
2025-07-17,2025,July,7,29,Thursday,True,-62
2025-07-18,2025,July,7,29,Friday,True,-62
2025-07-19,2025,July,7,29,Saturday,False,-62
2025-07-20,2025,July,7,29,Sunday,False,-62
2025-07-21,2025,July,7,30,Monday,True,-61
2025-07-22,2025,July,7,30,Tuesday,True,-61
2025-07-23,2025,July,7,30,Wednesday,True,-61
2025-07-24,2025,July,7,30,Thursday,True,-61
2025-07-25,2025,July,7,30,Friday,True,-61
2025-07-26,2025,July,7,30,Saturday,False,-61
2025-07-27,2025,July,7,30,Sunday,False,-61
2025-07-28,2025,July,7,31,Monday,True,-60
2025-07-29,2025,July,7,31,Tuesday,True,-60
2025-07-30,2025,July,7,31,Wednesday,True,-60
2025-07-31,2025,July,7,31,Thursday,True,-60
2025-08-01,2025,August,8,31,Friday,True,-60
2025-08-02,2025,August,8,31,Saturday,False,-60
2025-08-03,2025,August,8,31,Sunday,False,-60
2025-08-04,2025,August,8,32,Monday,True,-59
2025-08-05,2025,August,8,32,Tuesday,True,-59
2025-08-06,2025,August,8,32,Wednesday,True,-59
2025-08-07,2025,August,8,32,Thursday,True,-59
2025-08-08,2025,August,8,32,Friday,True,-59
2025-08-09,2025,August,8,32,Saturday,False,-59
2025-08-10,2025,August,8,32,Sunday,False,-59
2025-08-11,2025,August,8,33,Monday,True,-58
2025-08-12,2025,August,8,33,Tuesday,True,-58
2025-08-13,2025,August,8,33,Wednesday,True,-58
2025-08-14,2025,August,8,33,Thursday,True,-58
2025-08-15,2025,August,8,33,Friday,True,-58
2025-08-16,2025,August,8,33,Saturday,False,-58
2025-08-17,2025,August,8,33,Sunday,False,-58
2025-08-18,2025,August,8,34,Monday,True,-57
2025-08-19,2025,August,8,34,Tuesday,True,-57
2025-08-20,2025,August,8,34,Wednesday,True,-57
2025-08-21,2025,August,8,34,Thursday,True,-57
2025-08-22,2025,August,8,34,Friday,True,-57
2025-08-23,2025,August,8,34,Saturday,False,-57
2025-08-24,2025,August,8,34,Sunday,False,-57
2025-08-25,2025,August,8,35,Monday,True,-56
2025-08-26,2025,August,8,35,Tuesday,True,-56
2025-08-27,2025,August,8,35,Wednesday,True,-56
2025-08-28,2025,August,8,35,Thursday,True,-56
2025-08-29,2025,August,8,35,Friday,True,-56
2025-08-30,2025,August,8,35,Saturday,False,-56
2025-08-31,2025,August,8,35,Sunday,False,-56
2025-09-01,2025,September,9,36,Monday,True,-55
2025-09-02,2025,September,9,36,Tuesday,True,-55
2025-09-03,2025,September,9,36,Wednesday,True,-55
2025-09-04,2025,September,9,36,Thursday,True,-55
2025-09-05,2025,September,9,36,Friday,True,-55
2025-09-06,2025,September,9,36,Saturday,False,-55
2025-09-07,2025,September,9,36,Sunday,False,-55
