RondeKey,DienstNr,DagType,Type,Zone,Gemeente,Voertuig,BeginUur,EindUur,Opmerking,HeeftDepRit,HeeftExtraTaak,VrijeDag
JL001,1,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM001,1,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL002,2,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM002,2,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL003,3,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM003,3,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL004,4,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM004,4,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL005,5,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM005,5,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL006,6,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM006,6,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL007,7,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM007,7,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL008,8,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM008,8,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL009,9,dag 1,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JM009,9,dag 2,dense,9300,Aalst,E-Cargo,08:00,16:06,,False,False,
JL010,10,dag 1,dense,9300,Aalst,Auto,08:00,16:06,Dep rit Retail Aalst,True,False,
JM010,10,dag 2,dense,9300,Aalst,Auto,08:00,16:06,Dep rit retail Aalst,True,False,
JL011,11,dag 1,dense,9300,Aalst,Auto/E-bike,08:00,16:06,Dep PP Parklaan en Welvaartstraat,True,False,
JM011,11,dag 2,dense,9300,Aalst,Auto/E-bike,08:00,16:06,Dep PP Parklaan en Welvaartstraat,True,False,
JL012,12,dag 1,dense,9300,Aalst,Auto/E-bike,07:00,15:06,extra sortering,False,True,
JM012,12,dag 2,dense,9300,Aalst,Auto/E-bike,07:00,15:06,extra sortering,False,True,
JL013,13,dag 1,dense,9300,Aalst,Auto/E-bike,06:56,15:02,extra sortering,False,True,
JM013,13,dag 2,dense,9300,Aalst,Auto/E-bike,06:56,15:02,extra sortering,False,True,
JL014,14,dag 1,dense,9300,Aalst,Auto/E-bike,08:00,16:06,met bundelronde na sortering,False,True,
JM014,14,dag 2,dense,9300,Aalst,Auto/E-bike,08:00,16:06,met bundelronde na sortering,False,True,
JL015,15,dag 1,dense,9300,Aalst,Auto/E-bike,06:56,15:02,extra sortering + 40 minuten opruimen kantoor,False,True,
JM015,15,dag 2,dense,9300,Aalst,Auto/E-bike,06:56,15:02,extra sortering + 40 minuten opruimen kantoor,False,True,
JL016,16,dag 1,dense,9300,Aalst,Auto/E-bike,08:00,16:06,,False,False,
JM016,16,dag 2,dense,9300,Aalst,Auto/E-bike,08:00,16:06,,False,False,
JL017,17,dag 1,dense,9300,Aalst,Auto/E-bike,08:00,16:06,,False,False,
JM017,17,dag 2,dense,9300,Aalst,Auto/E-bike,08:00,16:06,,False,False,
JL018,18,dag 1,dense,9300,Aalst,Auto,08:00,16:06,P3 centrum zone A en shunting,False,True,
