RondeKey,RondeNr,RondeType,Bussen,Pakken
JL001,Res-001,Res,893,55.7849998
JM001,Res-051,Res,744,55.685997
JL002,Res-002,Res,1007,44.3930092
JM002,Res-052,Res,876,46.9180069
JL003,Res-003,Res,852,55.5860062
JM003,Res-053,Res,1017,50.866993
JL004,Res-004,Res,839,51.784996
JM004,Res-054,Res,882,50.1019974
JL005,Res-005,Res,948,50.1100082
JM005,Res-055,Res,978,44.4419861
JL006,Res-006,Res,1061,32.822998
JM006,Res-056,Res,993,53.9290009
JL007,Res-007,Res,943,57.0179939
JM007,Res-057,Res,912,51.6640015
JL008,Res-008,Res,881,54.1720047
JM008,Res-058,Res,911,46.9430084
JL009,Res-009,Res,671,60.0770073
JM009,Res-059,Res,983,42.7520065
JL010,Dep-010,Dep,,130.973999
JL010,Res-010,Res,515,53.2010002
JM010,Res-060,Res,511,44.6009979
JL011,Dep-011,Dep,,138.472
JL011,Res-011,Res,435,68.6929932
JM011,Res-061,Res,492,41.9850044
JL012,Res-012,Res,437,61.3959885
JM012,Res-062,Res,603,51.4829979
JL013,Res-013,Res,464,57.7109985
JM013,Res-063,Res,664,68.3409958
JL014,Rbu-014,Rbu,,0
JL014,Res-014,Res,689,55.173008
JM014,Res-064,Res,737,68.385994
JL015,Res-015,Res,550,44.6460037
JM015,Res-065,Res,573,49.6969948
JL016,Res-016,Res,746,78.0559921
JM016,Res-066,Res,724,73.4199905
JL017,Res-017,Res,886,100.888008
JM017,Res-067,Res,657,101.323944
JL018,Mix-018,Mix,,112.820007
JM018,Mix-068,Mix,,118.290009
JL101,Dep-101,Dep,,74.8989944
JL101,Res-101,Res,556,79.1949997
JM101,Res-151,Res,490,60.8079948
JL102,Dep-102,Dep,,64.5709991
JL102,Res-102,Res,437,83.6540222
JM102,Res-152,Res,488,56.4670029
JL103,Res-103,Res,560,73.1049957
JM103,Res-153,Res,604,87.9869766
JL104,Res-104,Res,683,67.310997
JM104,Res-154,Res,654,73.7769928
JL105,Res-105,Res,708,69.820015
JM105,Res-155,Res,611,62.7189941
JL106,Res-106,Res,802,72.8310013
JM106,Res-156,Res,669,78.7829971
JL107,Res-107,Res,792,73.1169815
JM107,Res-157,Res,664,90.3270035
JL108,Res-108,Res,738,69.7189789
JM108,Res-158,Res,718,75.6159821
JL109,Res-109,Res,752,55.0449905
JM109,Res-159,Res,560,73.3399811
JL110,Res-110,Res,658,77.7020035
JM110,Res-160,Res,588,59.7249947
JL111,Res-111,Res,707,71.4119873
JM111,Res-161,Res,543,62.9619865
JL112,Res-112,Res,634,72.2579803
JM112,Res-162,Res,538,70.1640167
JL113,Res-113,Res,643,62.3389969
JM113,Res-163,Res,571,65.5650024
JL114,Res-114,Res,608,72.1289978
JM114,Res-164,Res,637,69.9960098
JL115,Res-115,Res,716,76.0730133
JM115,Res-165,Res,642,78.7000046
JL116,Res-116,Res,754,78.0829849
JM116,Res-166,Res,620,72.5519791
JL117,Res-117,Res,612,95.5100021
JM117,Res-167,Res,580,82.4909897
JL201,Dep-201,Dep,,57.3120003
JL201,Res-201,Res,490,43.0750122
JM201,Res-251,Res,416,57.5969849
JL202,Res-202,Res,514,104.849991
JM202,Res-252,Res,498,70.2080002
JL203,Res-203,Res,629,78.2869873
JM203,Res-253,Res,488,88.5269852
JL204,Res-204,Res,533,73.733017
JM204,Res-254,Res,621,63.2580109
JL205,Res-205,Res,604,67.2329865
JM205,Res-255,Res,553,57.1549911
JL206,Res-206,Res,713,59.1269989
JM206,Res-256,Res,563,89.9199753
JL207,Res-207,Res,562,81.9560089
JM207,Res-257,Res,612,57.6180038
JL208,Res-208,Res,583,62.3969994
JM208,Res-258,Res,627,64.4930038
JL209,Res-209,Res,576,67.5779877
JM209,Res-259,Res,470,78.5800095
JL210,Res-210,Res,659,77.29599
JM210,Res-260,Res,519,59.4489975
JL211,Dep-211,Dep,,42.8209991
JL211,Res-211,Res,455,66.1700058
JM211,Res-261,Res,599,49.1810074
JL212,Dep-212,Dep,,96.5330048
JL212,Res-212,Res,472,46.7479858
JM212,Res-262,Res,365,36.3970032
JL213,Res-213,Res,633,98.2610245
JM213,Res-263,Res,632,71.6720123
JL214,Res-214,Res,596,77.8300095
JM214,Res-264,Res,558,67.3869934
JL215,Res-215,Res,595,64.8609924
JM215,Res-265,Res,609,78.216011
JL216,Res-216,Res,626,79.2429962
JM216,Res-266,Res,553,73.3800125
JL217,Res-217,Res,560,97.2870026
JM217,Res-267,Res,575,77.8550034
JL218,Res-218,Res,589,70.4679947
JM218,Res-268,Res,644,82.0989914
JL219,Dep-219,Dep,,36.3639984
JL219,Res-219,Res,531,57.9909935
JM219,Res-269,Res,527,66.4069977
JL220,Dep-220,Dep,,74.9540024
JL220,Res-220,Res,548,53.3429947
JM220,Res-270,Res,540,55.2119865
JL221,Res-221,Res,751,82.6279984
JM221,Res-271,Res,779,55.894001
JL222,Res-222,Res,708,77.8490067
JM222,Res-272,Res,778,60.4370003
JL223,Res-223,Res,548,87.4539948
JM223,Res-273,Res,726,65.4570084
JL224,Res-224,Res,653,60.9659882
JM224,Res-274,Res,702,73.6029968
JL225,Res-225,Res,720,64.1019821
JM225,Res-275,Res,692,59.7529945
